name,gene
"KEGG_SMALL_CELL_LUNG_CANCER","IKBKB"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMC1"
"KEGG_SMALL_CELL_LUNG_CANCER","AKT1"
"KEGG_SMALL_CELL_LUNG_CANCER","RB1"
"KEGG_SMALL_CELL_LUNG_CANCER","PIAS4"
"KEGG_SMALL_CELL_LUNG_CANCER","RARB"
"KEGG_SMALL_CELL_LUNG_CANCER","PIAS2"
"KEGG_SMALL_CELL_LUNG_CANCER","E2F3"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3R3"
"KEGG_SMALL_CELL_LUNG_CANCER","COL4A2"
"KEGG_SMALL_CELL_LUNG_CANCER","COL4A1"
"KEGG_SMALL_CELL_LUNG_CANCER","NFKBIA"
"KEGG_SMALL_CELL_LUNG_CANCER","CDKN1B"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMC2"
"KEGG_SMALL_CELL_LUNG_CANCER","CCNE2"
"KEGG_SMALL_CELL_LUNG_CANCER","MYC"
"KEGG_SMALL_CELL_LUNG_CANCER","E2F1"
"KEGG_SMALL_CELL_LUNG_CANCER","CDK6"
"KEGG_SMALL_CELL_LUNG_CANCER","CDKN2B"
"KEGG_SMALL_CELL_LUNG_CANCER","FN1"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMC3"
"KEGG_COLORECTAL_CANCER","MAPK8"
"KEGG_COLORECTAL_CANCER","PIK3CB"
"KEGG_COLORECTAL_CANCER","RAC1"
"KEGG_COLORECTAL_CANCER","SMAD3"
"KEGG_COLORECTAL_CANCER","BIRC5"
"KEGG_COLORECTAL_CANCER","TP53"
"KEGG_COLORECTAL_CANCER","CYCS"
"KEGG_COLORECTAL_CANCER","CCND1"
"KEGG_COLORECTAL_CANCER","KRAS"
"KEGG_COLORECTAL_CANCER","AKT3"
"KEGG_COLORECTAL_CANCER","PIK3R2"
"KEGG_COLORECTAL_CANCER","APC2"
"KEGG_COLORECTAL_CANCER","MAPK9"
"KEGG_COLORECTAL_CANCER","SMAD4"
"KEGG_COLORECTAL_CANCER","SMAD2"
"KEGG_COLORECTAL_CANCER","PIK3R1"
"KEGG_COLORECTAL_CANCER","JUN"
"KEGG_COLORECTAL_CANCER","PIK3CD"
"KEGG_COLORECTAL_CANCER","PIK3CA"
"KEGG_COLORECTAL_CANCER","MAPK1"
"KEGG_COLORECTAL_CANCER","ARAF"
"KEGG_COLORECTAL_CANCER","MSH2"
"KEGG_COLORECTAL_CANCER","BCL2"
"KEGG_COLORECTAL_CANCER","CTNNB1"
"KEGG_COLORECTAL_CANCER","APC"
"KEGG_COLORECTAL_CANCER","MAPK3"
"KEGG_COLORECTAL_CANCER","RAF1"
"KEGG_COLORECTAL_CANCER","MLH1"
